2026-07-20 19:18:08,ram,37.16
2026-07-20 19:20:23,ram,37.16
2026-07-20 19:40:09,controller,74.49
2026-07-20 19:45:30,controller,74.49
2026-07-20 19:47:01,ram,37.16
2026-07-20 19:48:20,ssd,108.52
2026-07-21 12:46:08,controller,30.25
2026-07-21 12:46:47,ram,37.21
2026-07-21 12:47:41,ssd,38.57
2026-07-21 13:07:02,controller,30.25
2026-07-21 13:07:42,ram,42.05
2026-07-21 13:08:17,ssd,38.57
2026-07-23 14:34:25,controller,30.65
2026-07-23 14:35:01,ram,80.85
2026-07-23 14:35:49,ssd,38.97
2026-08-10 12:34:19,controller,99.88
2026-08-10 12:35:29,ram,42.6
2026-08-10 12:36:54,ssd,38.5
